name,value,timestep,step
MeanLen+,130.96,0,73
MeanLen-,20.004292872614453,0,73
MeanEntropy,2.0018666,0,73
NumTrajs,300,0,74
NumTimesteps,39694,0,74
MaxRew,-10.366450357588771,0,74
MeanRew_lower,3.897594142624277,0,74
MeanRew_upper,-14.666811296226502,0,74
MeanSlowdown,4.899757575757576,0,74
MeanLen+,132.31333333333333,0,74
MeanLen-,20.88640280714279,0,74
MeanEntropy,2.0109377,0,74
NumTrajs,300,0,75
NumTimesteps,40179,0,75
MaxRew,-10.616938945821355,0,75
MeanRew_lower,3.6158681273341156,0,75
MeanRew_upper,-14.693730895182144,0,75
MeanSlowdown,4.920484848484849,0,75
MeanLen+,133.93,0,75
MeanLen-,24.032861530274197,0,75
MeanEntropy,2.0114963,0,75
NumTrajs,300,0,76
NumTimesteps,40740,0,76
MaxRew,-10.675210959694999,0,76
MeanRew_lower,3.869315962584604,0,76
MeanRew_upper,-14.916554725582401,0,76
MeanSlowdown,5.02230303030303,0,76
MeanLen+,135.8,0,76
MeanLen-,21.220273325289664,0,76
MeanEntropy,1.9476603,0,76
NumTrajs,300,0,77
NumTimesteps,40127,0,77
MaxRew,-10.948975374286004,0,77
MeanRew_lower,4.357305971133856,0,77
MeanRew_upper,-15.70566969535193,0,77
MeanSlowdown,5.173090909090909,0,77
MeanLen+,133.75666666666666,0,77
MeanLen-,21.349257338111055,0,77
MeanEntropy,2.0969234,0,77
NumTrajs,300,0,78
NumTimesteps,42147,0,78
MaxRew,-11.112410366772993,0,78
MeanRew_lower,3.932017740839225,0,78
MeanRew_upper,-15.0088890394276,0,78
MeanSlowdown,5.247636363636364,0,78
MeanLen+,140.49,0,78
MeanLen-,24.343580262566146,0,78
MeanEntropy,2.0335379,0,78
NumTrajs,300,0,79
NumTimesteps,40486,0,79
MaxRew,-10.259276373234801,0,79
MeanRew_lower,4.075813083233946,0,79
MeanRew_upper,-15.189065557952375,0,79
MeanSlowdown,4.954545454545454,0,79
MeanLen+,134.95333333333335,0,79
MeanLen-,22.48387175041009,0,79
MeanEntropy,2.0547545,0,79
NumTrajs,300,0,80
NumTimesteps,40051,0,80
